# a  alpha_K  alpha_B  alpha_M  alpha_T
1.287142148456673675e-04 8.061930049999999727e-22 2.049077789999999966e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.313196671476733897e-04 8.648038389999999510e-22 2.198047279999999869e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.339778594031191660e-04 9.275998069999999795e-22 2.357653999999999964e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.366898591819953033e-04 9.948735020000000051e-22 2.528641629999999773e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.394567556642027758e-04 1.066937479999999990e-21 2.711804590000000081e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.422798023567155030e-04 1.144125590000000086e-21 2.907991410000000232e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.451598513009888058e-04 1.226799219999999939e-21 3.118120620000000080e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.480981986248216316e-04 1.315329769999999914e-21 3.343136199999999779e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.510960244126929549e-04 1.410133879999999951e-21 3.584097110000000160e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.541545326365282144e-04 1.511634850000000047e-21 3.842079239999999789e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.572749516392316083e-04 1.620307640000000011e-21 4.118289760000000224e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.604585346280072711e-04 1.736648199999999821e-21 4.413989239999999799e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.637065601776661970e-04 1.861171269999999983e-21 4.730485990000000120e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.670203327441210580e-04 1.994454569999999850e-21 5.069248339999999597e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.704011831882753234e-04 2.137092549999999914e-21 5.431787230000000102e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.738504693105170408e-04 2.289726800000000068e-21 5.819733359999999593e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.773695763960319259e-04 2.453051459999999828e-21 6.234850990000000145e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.809600987311630585e-04 2.627788349999999973e-21 6.678974780000000437e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.846231199940097888e-04 2.814727480000000093e-21 7.154112620000000224e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.883602886786702076e-04 3.014689999999999975e-21 7.662351669999999549e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.921731056882969725e-04 3.228561910000000045e-21 8.205943819999999845e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.960631023075478058e-04 3.457301549999999914e-21 8.787324830000000685e-22 0.000000000000000000e+00 0.000000000000000000e+00
2.000318408175725323e-04 3.701918989999999981e-21 9.409062010000000323e-22 0.000000000000000000e+00 0.000000000000000000e+00
