# weight H0_light H0_matter omega_cdm logA F_arithmetic F_weighted
1.000000000000000000e+00 6.602863200000000177e+01 7.353555610357589956e+01 1.179885900000000043e-01 2.924412499999999859e+00 6.978209405178795066e+01 6.614717447851761278e+01
1.000000000000000000e+00 6.602863200000000177e+01 7.366642845971709619e+01 1.179885900000000043e-01 2.924412499999999859e+00 6.984753022985854898e+01 6.614924109505086847e+01
1.000000000000000000e+00 6.522451100000000679e+01 7.283033119118975662e+01 1.203643400000000002e-01 2.978642400000000023e+00 6.902742109559488881e+01 6.534461515506843909e+01
1.000000000000000000e+00 6.522451100000000679e+01 7.100090056899659885e+01 1.203643400000000002e-01 2.978642400000000023e+00 6.811270578449830282e+01 6.531572646014645045e+01
1.000000000000000000e+00 6.569544399999999484e+01 7.300280092532906906e+01 1.186981599999999970e-01 3.014135000000000009e+00 6.934912246266452485e+01 6.581083509619193705e+01
1.000000000000000000e+00 6.569544399999999484e+01 7.270215597560148524e+01 1.186981599999999970e-01 3.014135000000000009e+00 6.919879998780074004e+01 6.580608758615949228e+01
1.000000000000000000e+00 6.569544399999999484e+01 7.384003393806467841e+01 1.186981599999999970e-01 3.014135000000000009e+00 6.976773896903233663e+01 6.582405591407380996e+01
1.000000000000000000e+00 6.538745900000000688e+01 7.055815807158550967e+01 1.196941900000000059e-01 3.022423900000000163e+00 6.797280853579275117e+01 6.546910994986407673e+01
1.000000000000000000e+00 6.538745900000000688e+01 7.260098186931277553e+01 1.196941900000000059e-01 3.022423900000000163e+00 6.899422043465639831e+01 6.550136835461363205e+01
1.000000000000000000e+00 6.538745900000000688e+01 7.167760510328028545e+01 1.196941900000000059e-01 3.022423900000000163e+00 6.853253205164014616e+01 6.548678723337931729e+01
1.000000000000000000e+00 6.538745900000000688e+01 7.524600384347762372e+01 1.196941900000000059e-01 3.022423900000000163e+00 7.031673142173880819e+01 6.554313612210732742e+01
1.000000000000000000e+00 6.538745900000000688e+01 7.223608828254513980e+01 1.196941900000000059e-01 3.022423900000000163e+00 6.881177364127256624e+01 6.549560628887621760e+01
1.000000000000000000e+00 6.538745900000000688e+01 7.021266652175886236e+01 1.196941900000000059e-01 3.022423900000000163e+00 6.780006276087942751e+01 6.546365426334610049e+01
1.000000000000000000e+00 6.538745900000000688e+01 7.214545440025733569e+01 1.196941900000000059e-01 3.022423900000000163e+00 6.876645670012867129e+01 6.549417508151407219e+01
1.000000000000000000e+00 6.608271600000000490e+01 7.398104083500015804e+01 1.173620100000000027e-01 3.056517599999999835e+00 7.003187841750008147e+01 6.620743912083615612e+01
2.000000000000000000e+00 6.608271600000000490e+01 7.366656477310012008e+01 1.173620100000000027e-01 3.056517599999999835e+00 6.987464038655005538e+01 6.620247320253223222e+01
1.000000000000000000e+00 6.529904799999999909e+01 7.191369947090056769e+01 1.196512299999999973e-01 3.078622900000000051e+00 6.860637373545029050e+01 6.540350052530489222e+01
1.000000000000000000e+00 6.529904799999999909e+01 7.154672425884048437e+01 1.196512299999999973e-01 3.078622900000000051e+00 6.842288612942024884e+01 6.539770558844500670e+01
1.000000000000000000e+00 6.529904799999999909e+01 7.084579457180365125e+01 1.196512299999999973e-01 3.078622900000000051e+00 6.807242128590182517e+01 6.538663714799970705e+01
1.000000000000000000e+00 6.529904799999999909e+01 7.338104793662081704e+01 1.196512299999999973e-01 3.078622900000000051e+00 6.934004796831041517e+01 6.542667155002493473e+01
1.000000000000000000e+00 6.529904799999999909e+01 7.343483944762688509e+01 1.196512299999999973e-01 3.078622900000000051e+00 6.936694372381344920e+01 6.542752097636119402e+01
1.000000000000000000e+00 6.529904799999999909e+01 7.372073309849463385e+01 1.196512299999999973e-01 3.078622900000000051e+00 6.950989054924731647e+01 6.543203554737573313e+01
1.000000000000000000e+00 6.586262999999999579e+01 6.879117338503418466e+01 1.184045499999999973e-01 3.101001399999999908e+00 6.732690169251708312e+01 6.590887487826417157e+01
1.000000000000000000e+00 6.586262999999999579e+01 7.241080925736513052e+01 1.184045499999999973e-01 3.101001399999999908e+00 6.913671962868255605e+01 6.596603285691389829e+01
1.000000000000000000e+00 6.586262999999999579e+01 7.277021450831431082e+01 1.184045499999999973e-01 3.101001399999999908e+00 6.931642225415714620e+01 6.597170825587251386e+01
1.000000000000000000e+00 6.586262999999999579e+01 7.528259682610521963e+01 1.184045499999999973e-01 3.101001399999999908e+00 7.057261341305260771e+01 6.601138149924429399e+01
1.000000000000000000e+00 6.558471000000000117e+01 7.310578729522332253e+01 1.194010400000000000e-01 3.118104300000000162e+00 6.934524864761166896e+01 6.570347597277353202e+01
1.000000000000000000e+00 6.535564300000000060e+01 7.237461232657004473e+01 1.200868999999999964e-01 3.110270499999999938e+00 6.886512766328502266e+01 6.546648014303363539e+01
1.000000000000000000e+00 6.535564300000000060e+01 7.307195410724581563e+01 1.200868999999999964e-01 3.110270499999999938e+00 6.921379855362290812e+01 6.547749192654372052e+01
1.000000000000000000e+00 6.535564300000000060e+01 7.310436763262413251e+01 1.200868999999999964e-01 3.110270499999999938e+00 6.923000531631205945e+01 6.547800377128635319e+01
1.000000000000000000e+00 6.535564300000000060e+01 7.520925302575253113e+01 1.200868999999999964e-01 3.110270499999999938e+00 7.028244801287627297e+01 6.551124219597991782e+01
1.000000000000000000e+00 6.545559500000000241e+01 7.135504627010159595e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.840532063505079918e+01 6.554875373796014060e+01
1.000000000000000000e+00 6.545559500000000241e+01 6.817849338497880751e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.681704419248940496e+01 6.549859252053617809e+01
1.000000000000000000e+00 6.545559500000000241e+01 7.084791193315825808e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.815175346657912314e+01 6.554074553641005707e+01
1.000000000000000000e+00 6.545559500000000241e+01 7.349345404968680384e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.947452452484340313e+01 6.558252151751617021e+01
1.000000000000000000e+00 6.545559500000000241e+01 7.262459715326762932e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.904009607663381587e+01 6.556880132419097151e+01
